Experiment ID,Algorithm,Mean Validation Recall,Rank of hyperparameter set,C,gamma,kernel,accuracy,precision,recall,f1,balanced_accuracy,max_depth,min_samples_leaf,min_samples_split,n_estimators,colsample_bytree,learning_rate,scale_pos_weight,subsample
4,XGBoost,0.585343618513324,228,,,,,,,,,6.0,,,500.0,0.7,0.1,21.19222462203024,0.8
4,XGBoost,0.6025946704067321,198,,,,,,,,,6.0,,,500.0,0.7,0.1,21.19222462203024,1.0
4,XGBoost,0.6457223001402523,150,,,,,,,,,10.0,,,100.0,0.7,0.1,21.19222462203024,0.7
4,XGBoost,0.6413510986442261,155,,,,,,,,,10.0,,,100.0,0.7,0.1,21.19222462203024,0.8
4,XGBoost,0.6175549322113136,176,,,,,,,,,10.0,,,100.0,0.7,0.1,21.19222462203024,1.0
4,XGBoost,0.6111266947171575,182,,,,,,,,,10.0,,,200.0,0.7,0.1,21.19222462203024,0.7
4,XGBoost,0.6047452080411407,195,,,,,,,,,10.0,,,200.0,0.7,0.1,21.19222462203024,0.8
4,XGBoost,0.6068256194483403,191,,,,,,,,,10.0,,,200.0,0.7,0.1,21.19222462203024,1.0
4,XGBoost,0.5895511921458625,224,,,,,,,,,10.0,,,500.0,0.7,0.1,21.19222462203024,0.7
4,XGBoost,0.5766947171575503,237,,,,,,,,,10.0,,,500.0,0.7,0.1,21.19222462203024,0.8
4,XGBoost,0.5917017297802711,220,,,,,,,,,10.0,,,500.0,0.7,0.1,21.19222462203024,1.0
4,XGBoost,0.8227910238429172,70,,,,,,,,,3.0,,,100.0,0.7,0.2,21.19222462203024,0.7
4,XGBoost,0.8377512856474988,52,,,,,,,,,3.0,,,100.0,0.7,0.2,21.19222462203024,0.8
4,XGBoost,0.8334735857877513,57,,,,,,,,,3.0,,,100.0,0.7,0.2,21.19222462203024,1.0
4,XGBoost,0.7557971014492754,91,,,,,,,,,3.0,,,200.0,0.7,0.2,21.19222462203024,0.7
4,XGBoost,0.751449275362319,93,,,,,,,,,3.0,,,200.0,0.7,0.2,21.19222462203024,0.8
4,XGBoost,0.762201963534362,86,,,,,,,,,3.0,,,200.0,0.7,0.2,21.19222462203024,1.0
4,XGBoost,0.615474520804114,177,,,,,,,,,3.0,,,500.0,0.7,0.2,21.19222462203024,0.7
4,XGBoost,0.6305750350631136,164,,,,,,,,,3.0,,,500.0,0.7,0.2,21.19222462203024,0.8
4,XGBoost,0.626297335203366,170,,,,,,,,,3.0,,,500.0,0.7,0.2,21.19222462203024,1.0
4,XGBoost,0.6392706872370267,156,,,,,,,,,6.0,,,100.0,0.7,0.2,21.19222462203024,0.7
4,XGBoost,0.6415147265077138,154,,,,,,,,,6.0,,,100.0,0.7,0.2,21.19222462203024,0.8
4,XGBoost,0.6672978027115475,138,,,,,,,,,6.0,,,100.0,0.7,0.2,21.19222462203024,1.0
4,XGBoost,0.6003740065451144,204,,,,,,,,,6.0,,,200.0,0.7,0.2,21.19222462203024,0.7
4,XGBoost,0.5961430575035063,207,,,,,,,,,6.0,,,200.0,0.7,0.2,21.19222462203024,0.8
4,XGBoost,0.6327723235156615,163,,,,,,,,,6.0,,,200.0,0.7,0.2,21.19222462203024,1.0
4,XGBoost,0.5853202431042542,230,,,,,,,,,6.0,,,500.0,0.7,0.2,21.19222462203024,0.7
4,XGBoost,0.5659186535764376,241,,,,,,,,,6.0,,,500.0,0.7,0.2,21.19222462203024,0.8
4,XGBoost,0.593969144460028,211,,,,,,,,,6.0,,,500.0,0.7,0.2,21.19222462203024,1.0
4,XGBoost,0.6025946704067321,198,,,,,,,,,10.0,,,100.0,0.7,0.2,21.19222462203024,0.7
4,XGBoost,0.6220430107526882,172,,,,,,,,,10.0,,,100.0,0.7,0.2,21.19222462203024,0.8
4,XGBoost,0.6068256194483403,191,,,,,,,,,10.0,,,100.0,0.7,0.2,21.19222462203024,1.0
4,XGBoost,0.5788452547919588,234,,,,,,,,,10.0,,,200.0,0.7,0.2,21.19222462203024,0.7
